"filename","functions","first_line","first_byte","last_line","last_byte","first_column","last_column","first_parsed","last_parsed","value"
"R/aFIPC.R","autoFIPC",387,31,387,90,31,90,387,387,0
"R/aFIPC.R","autoFIPC",388,15,388,37,15,37,388,388,0
"R/aFIPC.R","autoFIPC",389,13,392,15,13,15,391,394,0
"R/aFIPC.R","autoFIPC",393,17,393,36,17,36,393,393,0
"R/aFIPC.R","autoFIPC",394,15,394,35,15,35,396,396,0
"R/aFIPC.R","autoFIPC",397,11,397,63,11,63,399,399,0
"R/aFIPC.R","autoFIPC",399,9,399,53,9,53,401,401,0
"R/aFIPC.R","autoFIPC",400,13,400,34,13,34,400,400,0
"R/aFIPC.R","autoFIPC",401,11,401,35,11,35,403,403,0
"R/aFIPC.R","autoFIPC",403,11,403,36,11,36,405,405,0
"R/aFIPC.R","autoFIPC",407,7,407,52,7,52,409,409,0
"R/aFIPC.R","autoFIPC",408,11,408,53,11,53,408,408,0
"R/aFIPC.R","autoFIPC",409,9,409,52,9,52,411,411,0
"R/aFIPC.R","autoFIPC",410,9,423,11,9,11,412,425,0
"R/aFIPC.R","autoFIPC",424,9,433,9,9,9,426,435,0
"R/aFIPC.R","autoFIPC",435,9,437,9,9,9,437,439,0
"R/aFIPC.R","autoFIPC",438,9,450,9,9,9,440,452,0
"R/aFIPC.R","autoFIPC",453,11,453,51,11,51,453,453,0
"R/aFIPC.R","autoFIPC",454,9,454,84,9,84,456,456,0
"R/aFIPC.R","autoFIPC",457,11,457,29,11,29,457,457,0
"R/aFIPC.R","autoFIPC",459,11,460,32,11,32,459,460,0
"R/aFIPC.R","autoFIPC",462,11,464,11,11,11,464,466,0
"R/aFIPC.R","autoFIPC",466,11,466,31,11,31,468,468,0
"R/aFIPC.R","autoFIPC",467,11,479,11,11,11,469,481,0
"R/aFIPC.R","autoFIPC",483,11,484,32,11,32,483,484,0
"R/aFIPC.R","autoFIPC",486,11,488,11,11,11,488,490,0
"R/aFIPC.R","autoFIPC",490,11,490,46,11,46,492,492,0
"R/aFIPC.R","autoFIPC",491,15,491,37,15,37,491,491,0
"R/aFIPC.R","autoFIPC",492,13,504,13,13,13,494,506,0
"R/aFIPC.R","autoFIPC",505,17,505,56,17,56,505,505,0
"R/aFIPC.R","autoFIPC",505,59,505,63,59,63,505,505,0
"R/aFIPC.R","autoFIPC",507,15,507,55,15,55,507,507,0
"R/aFIPC.R","autoFIPC",507,58,507,123,58,123,507,507,0
"R/aFIPC.R","autoFIPC",512,9,513,30,9,30,512,513,0
"R/aFIPC.R","autoFIPC",515,9,517,9,9,9,517,519,0
"R/aFIPC.R","autoFIPC",518,9,518,29,9,29,520,520,0
"R/aFIPC.R","autoFIPC",520,9,526,11,9,11,522,528,0
"R/aFIPC.R","autoFIPC",530,9,531,30,9,30,530,531,0
"R/aFIPC.R","autoFIPC",533,9,535,9,9,9,535,537,0
"R/aFIPC.R","autoFIPC",536,9,536,29,9,29,538,538,0
"R/aFIPC.R","autoFIPC",538,9,545,11,9,11,540,547,0
"R/aFIPC.R","autoFIPC",549,9,550,30,9,30,549,550,0
"R/aFIPC.R","autoFIPC",552,9,554,9,9,9,554,556,0
